name,sector,trl2020,trl2021,trl2022,trl2023,trl2024,description,NZErationale,supplyChain,theme,keyCountries,read_more,trl_final,text
Standalone liquid or solid desiccant cooling,"Demand,Buildings,Heating and cooling,Generation,Standalone liquid or solid desiccant cooling",9,9,9,9,9.0,Used to pre-cool the environment recovering both latent and sensible heat. Integrated piece of equipment to be coupled with air conditioners or evaporative coolers. Uses both electrical and thermal energy.,Reduction of ventilation loads up to 75% and of chiller capacity up to 25%.,Heat generation,,Italy,,9.0,Used to pre-cool the environment recovering both latent and sensible heat. Integrated piece of equipment to be coupled with air conditioners or evaporative coolers. Uses both electrical and thermal energy. Reduction of ventilation loads up to 75% and of chiller capacity up to 25%.
Trigeneration,"Demand,Buildings,Heating and cooling,Generation,Trigeneration",9,9,9,9,9.0,"Trigeneration systems produce heating, cooling and electricity.",On-site production of heat and electricity.,Heat generation,Hydrogen,"Europe,Australia",https://www.iea.org/reports/global-hydrogen-review-2022,9.0,"Trigeneration systems produce heating, cooling and electricity. On-site production of heat and electricity."
Active latent heat storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Active latent heat storage",4,4,4,4,4.0,"Thermal storage system integrating heat transfer components into the storage volume, thus allowing more independence between the equipment energy capacity (i.e. total amount of energy that can be stored) and power (i.e. the amount of energy that could be discharged in a given unit of time).","As capacity and power can be chosen independently, active storage systems could be suitable in various applications and designed more optimally than traditional thermal storage systems.",Heat storage,Energy storage,,,4.0,"Thermal storage system integrating heat transfer components into the storage volume, thus allowing more independence between the equipment energy capacity (i.e. total amount of energy that can be stored) and power (i.e. the amount of energy that could be discharged in a given unit of time). As capacity and power can be chosen independently, active storage systems could be suitable in various applications and designed more optimally than traditional thermal storage systems."
Combined latent and sensible storage system,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Combined latent and sensible storage system",8,8,8,8,8.0,"Thermal storage system combining a phase-change material encapsulated into a high thermal capacity medium (e.g. concrete). Today, the coupling of multiple storage media could enhance storage density by a factor of two to three.",Combined latent and sensible storage systems could meet the flexibility needs of thermal and electrical grids at a lower cost than latent or sensible storage units.,Heat storage,Energy storage,,,8.0,"Thermal storage system combining a phase-change material encapsulated into a high thermal capacity medium (e.g. concrete). Today, the coupling of multiple storage media could enhance storage density by a factor of two to three. Combined latent and sensible storage systems could meet the flexibility needs of thermal and electrical grids at a lower cost than latent or sensible storage units."
Liquid-gaseous thermal storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Liquid-gaseous thermal storage",8,8,8,8,8.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the liquid state to the gaseous state.,Considered too complex because of the important change of volume between liquid and gas (or high pressure).,Heat storage,Energy storage,,,8.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the liquid state to the gaseous state. Considered too complex because of the important change of volume between liquid and gas (or high pressure).
Solid-liquid aqueous salt solutions thermal storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-liquid aqueous salt solutions thermal storage",9,9,9,9,9.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures below 0 °C.,"Available in a wide temperature range, low overcooling, recyclable, good compatibility with other materials but flammable and with a low thermal conductivity.",Heat storage,Energy storage,,,9.0,"Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures below 0 °C. Available in a wide temperature range, low overcooling, recyclable, good compatibility with other materials but flammable and with a low thermal conductivity."
Solid-liquid fatty acids thermal storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-liquid fatty acids thermal storage",8,8,8,8,8.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures between 15 and 70 °C.,"Biodegradable, non-corrosive and non-toxic, but limited material availability and latent heat lower compared to other alternatives such as alkanes.",Heat storage,Energy storage,,,8.0,"Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures between 15 and 70 °C. Biodegradable, non-corrosive and non-toxic, but limited material availability and latent heat lower compared to other alternatives such as alkanes."
Solid-liquid ice storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-liquid ice storage",9,9,9,9,9.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for a temperature of 0 °C. Water acts as the phase change material.,"This solution can exploit renewables, reducing peak power needs for cooling or industrial processes.  Thermal energy is stored as ice and used later to maintain temperatures within a building or industrial process. The waste heat generally discarded by the refrigeration process can be used for space heating and hot water. Cheaper compared to batteries.",Heat storage,Energy storage,,,9.0,"Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for a temperature of 0 °C. Water acts as the phase change material. This solution can exploit renewables, reducing peak power needs for cooling or industrial processes.  Thermal energy is stored as ice and used later to maintain temperatures within a building or industrial process. The waste heat generally discarded by the refrigeration process can be used for space heating and hot water. Cheaper compared to batteries."
Solid-liquid low temperature heat,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-liquid low temperature heat",8,8,8,8,8.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state.,"More dense than sensible heat storage; isothermal; some materials are cheap and abundant, non-toxic materials but many materials are flammable or corrosive; phase separation may occur.",Heat storage,Energy storage,,https://iea-es.org/,8.0,"Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. More dense than sensible heat storage; isothermal; some materials are cheap and abundant, non-toxic materials but many materials are flammable or corrosive; phase separation may occur."
Solid-liquid salt hydrates and paraffins thermal storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-liquid salt hydrates and paraffins thermal storage",8,8,8,8,8.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures up to 100 °C.,"Available in a wide temperature range, low overcooling, recyclable, good compatibility with other materials but flammable and with a low thermal conductivity.",Heat storage,Energy storage,,,8.0,"Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures up to 100 °C. Available in a wide temperature range, low overcooling, recyclable, good compatibility with other materials but flammable and with a low thermal conductivity."
Solid-liquid salt thermal storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-liquid salt thermal storage",8,8,8,8,8.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures above 200 °C.,"Have good thermal conductivity compared to organic materials, small subcooling up to several K,
and low vapour pressure, good chemical stability (except for carbonates and nitrates). However, they have large volume changes and are corrosive
to metals.",Heat storage,Energy storage,,,8.0,"Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures above 200 °C. Have good thermal conductivity compared to organic materials, small subcooling up to several K,
and low vapour pressure, good chemical stability (except for carbonates and nitrates). However, they have large volume changes and are corrosive
to metals."
Solid-liquid sugar alcohols thermal storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-liquid sugar alcohols thermal storage",8,8,8,8,8.0,Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures between 90 and 200 °C.,"High densities lead to high heat of fusion per mass and high heat of fusion per volume; safe and non-toxic, but show some subcooling effect.",Heat storage,Energy storage,,,8.0,"Heat is stored and released at constant temperature thanks to a change in the phase of a material from the solid state to the liquid state. Such systems would be used for temperatures between 90 and 200 °C. High densities lead to high heat of fusion per mass and high heat of fusion per volume; safe and non-toxic, but show some subcooling effect."
Solid-solid thermal storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Latent (phase change material),Solid-solid thermal storage",8,8,8,8,8.0,Heat is stored and released at constant temperature thanks to a change in the crystalline structure of a solid material.,Quite slow compared to liquid-solid. A large range of materials make this method available for temperature ranging from -100 °C to 1 000 °C.,Heat storage,Energy storage,,,8.0,Heat is stored and released at constant temperature thanks to a change in the crystalline structure of a solid material. Quite slow compared to liquid-solid. A large range of materials make this method available for temperature ranging from -100 °C to 1 000 °C.
Chilled water storage,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Sensible,Chilled water storage",9,9,9,9,9.0,"A chilled water storage system charges cold water thanks to an air/water/ground-to-water conditioning unit when there is no congestion in the electricity grid. The system restores the cooling to the distribution system during peak period, thus reducing the peak load.","Synergies with electric grid, reduction in electricity spending for users, low initial investment cost.",Heat storage,Energy storage,"United States,Japan,Korea",,9.0,"A chilled water storage system charges cold water thanks to an air/water/ground-to-water conditioning unit when there is no congestion in the electricity grid. The system restores the cooling to the distribution system during peak period, thus reducing the peak load. Synergies with electric grid, reduction in electricity spending for users, low initial investment cost."
Hot water tank,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Sensible,Hot water tank",11,11,11,11,11.0,A hot water tank stores sanitary hot water to meet household daily needs.,"Cheap, reliable, long lifetime, non-toxic materials but with low energy density and self discharge.",Heat storage,Energy storage,,,9.0,"A hot water tank stores sanitary hot water to meet household daily needs. Cheap, reliable, long lifetime, non-toxic materials but with low energy density and self discharge."
Vacuum-insulated high-temperature water tank,"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Sensible,Vacuum-insulated high-temperature water tank",8,8,8,8,8.0,"Heat is produced through an electric resistance, the solid state storage media is vacuum-insulated, and the heat exchange to the 90 °C distribution system is embedded in the product. The system could be a cylinder of around 1m-large and 2m-high that can draw up to 20 kW of electrical power.","Safe, recyclable, 20-year lifetime, high thermal conductivity, heat storage losses <5%, potential to be less costly, but heavy (1.5 tonnes for domestic applications) and less efficient than heat pumps (as they use an electric resistance).
",Heat storage,Energy storage,,,8.0,"Heat is produced through an electric resistance, the solid state storage media is vacuum-insulated, and the heat exchange to the 90 °C distribution system is embedded in the product. The system could be a cylinder of around 1m-large and 2m-high that can draw up to 20 kW of electrical power. Safe, recyclable, 20-year lifetime, high thermal conductivity, heat storage losses <5%, potential to be less costly, but heavy (1.5 tonnes for domestic applications) and less efficient than heat pumps (as they use an electric resistance).
"
Shape-stabilised phase change material (ss-PCM),"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Shape-stabilised phase change material (ss-PCM)",,,4,4,4.0,"Phase change materials are able to store energy through changing the physical state of a material from solid to liquid, and releasing it through solidification. They are therefore able to act as a passive thermal battery. ",The new material is a shape-stabilised phase change material that can store up to five times more thermal energy than commercially available phase change materials. ,Heat storage,Energy storage,,,4.0,"Phase change materials are able to store energy through changing the physical state of a material from solid to liquid, and releasing it through solidification. They are therefore able to act as a passive thermal battery.  The new material is a shape-stabilised phase change material that can store up to five times more thermal energy than commercially available phase change materials. "
Aquifer thermal energy storage (ATES),"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Underground thermal storage,Aquifer thermal energy storage (ATES)",9,9,9,9,9.0,An open-loop geothermal network uses an aquifer to store cold or heat on a seasonal basis.,"Seasonal storage is key to offset peak demand, which is generally driven by a building's thermal needs (either during the winter or summer). However, large scale systems need to be implemented at the community level (zero-emissions districts, campuses, etc).",Heat storage,Energy storage,Netherlands,,9.0,"An open-loop geothermal network uses an aquifer to store cold or heat on a seasonal basis. Seasonal storage is key to offset peak demand, which is generally driven by a building's thermal needs (either during the winter or summer). However, large scale systems need to be implemented at the community level (zero-emissions districts, campuses, etc)."
Borehole thermal energy storage (BTES),"Demand,Buildings,Heating and cooling,Storage,Thermal storage,Underground thermal storage,Borehole thermal energy storage (BTES)",9,9,9,9,9.0,A closed-loop geothermal network operates to store heat seasonally in the ground (while a conventional ground source heat pump dissipates heat or cold in the subsurface).,"Seasonal storage is key to offset peak demand, which is generally driven by building's thermal needs (either during the winter or summer). However, large scale systems need to be implemented at the community level (zero-emissions districts, campuses, etc).",Heat storage,Energy storage,,,9.0,"A closed-loop geothermal network operates to store heat seasonally in the ground (while a conventional ground source heat pump dissipates heat or cold in the subsurface). Seasonal storage is key to offset peak demand, which is generally driven by building's thermal needs (either during the winter or summer). However, large scale systems need to be implemented at the community level (zero-emissions districts, campuses, etc)."
Thermo-chemical storage,"Demand,Buildings,Heating and cooling,Storage,Thermo-chemical storage",4,4,4,4,4.0,"Storage device based on reversible chemical reaction which allows heat adsorptions. Thermal energy is used to dissociate compounds (“AB”) into two reaction products (“A” and “B”). Upon subsequent recombination of the reactants, an exothermic reverse reaction occurs and the previously-stored heat of reaction is released. A reverse reaction results in heat release. This allows for the theoretically loss-less storage of thermal energy.","Promising way to store heat for residential buildings, with high mass transfer, fast reaction time and low cost.",Heat storage,Energy storage,,,4.0,"Storage device based on reversible chemical reaction which allows heat adsorptions. Thermal energy is used to dissociate compounds (“AB”) into two reaction products (“A” and “B”). Upon subsequent recombination of the reactants, an exothermic reverse reaction occurs and the previously-stored heat of reaction is released. A reverse reaction results in heat release. This allows for the theoretically loss-less storage of thermal energy. Promising way to store heat for residential buildings, with high mass transfer, fast reaction time and low cost."
Advanced lighting control system,"Demand,Buildings,Lighting,Advanced lighting control system",9,9,9,9,9.0,Advanced daylighting systems include a wide variety of controls to optimise the use of LED systems by avoiding their use when it is not necessary. They are also able to adjust electrical input depending on natural daylight.,"LEDs whose power can adjust to natural daylight and turn off when nobody is in a room will help reduce electricity use for lighting (by 20 to 40% depending on people's behaviour, building usage, etc).",Light infrastructure,Digitalisation,,,9.0,"Advanced daylighting systems include a wide variety of controls to optimise the use of LED systems by avoiding their use when it is not necessary. They are also able to adjust electrical input depending on natural daylight. LEDs whose power can adjust to natural daylight and turn off when nobody is in a room will help reduce electricity use for lighting (by 20 to 40% depending on people's behaviour, building usage, etc)."
Direct current lighting,"Demand,Buildings,Lighting,Direct current lighting",7,7,7,7,7.0,Direct current lighting refers to light-emitting diodes (LED) run on direct current (DC) and able to be connected directly to a DC grid to avoid the AC/DC conversion required with the traditional AC grid.,Possibility to link them directly to PV systems.,Light infrastructure,,,,7.0,Direct current lighting refers to light-emitting diodes (LED) run on direct current (DC) and able to be connected directly to a DC grid to avoid the AC/DC conversion required with the traditional AC grid. Possibility to link them directly to PV systems.
Conventional LED,"Demand,Buildings,Lighting,Lamps and luminaires,Conventional LED",11,11,11,11,11.0,"Light-emitting diodes (LED) use solid state technology to produce a directional and monochromatic light at very high efficiency and long lifetimes compared to traditional incandescent or compact fluorescent light bulbs. To create white light, LED can either use phosphor conversion or (red, green and blue) RGB systems.","High efficiency and long lifetime compared to alternative lighting, and already starting to be cost-competitive with traditional lighting.",Light infrastructure,,"Australia,Canada,China,Denmark,France,Korea,Sweden,United Kingdom,United States,India",,9.0,"Light-emitting diodes (LED) use solid state technology to produce a directional and monochromatic light at very high efficiency and long lifetimes compared to traditional incandescent or compact fluorescent light bulbs. To create white light, LED can either use phosphor conversion or (red, green and blue) RGB systems. High efficiency and long lifetime compared to alternative lighting, and already starting to be cost-competitive with traditional lighting."
Organic LED,"Demand,Buildings,Lighting,Lamps and luminaires,Organic LED",9,9,9,9,10.0,"Organic light-emitting diodes (OLED) are a solid state technology that produce a diffuse light source at high efficiency, making them ideal for use in lighting and displays. They can also be produced on flexible substrates, allowing incorporation into furniture and architecture. There are two types of OLEDs, small-molecular and polymer (PLED). The majority of OLEDs today use the small-molecular subtype.",High efficiency and long lifetime compared to alternative lighting.,Light infrastructure,,,,9.0,"Organic light-emitting diodes (OLED) are a solid state technology that produce a diffuse light source at high efficiency, making them ideal for use in lighting and displays. They can also be produced on flexible substrates, allowing incorporation into furniture and architecture. There are two types of OLEDs, small-molecular and polymer (PLED). The majority of OLEDs today use the small-molecular subtype. High efficiency and long lifetime compared to alternative lighting."
Polymer LED,"Demand,Buildings,Lighting,Lamps and luminaires,Polymer LED",9,9,9,9,9.0,"Polymer light-emitting diode (PLED) is a type of OLED, using large molecules (polymers) typically deposited using a solution-based method (e.g. inkjet printing or screen printing) which is cheaper than high-vacuum evaporation used for small-molecular OLEDs, but comes at the expense of lifetime and efficiency.",High efficiency and long lifetime compared to alternative lighting.,Light infrastructure,,,,9.0,"Polymer light-emitting diode (PLED) is a type of OLED, using large molecules (polymers) typically deposited using a solution-based method (e.g. inkjet printing or screen printing) which is cheaper than high-vacuum evaporation used for small-molecular OLEDs, but comes at the expense of lifetime and efficiency. High efficiency and long lifetime compared to alternative lighting."
Gamification devices,"Demand,Buildings,Systems integration in buildings,Demand response,Gamification devices",8,8,8,8,8.0,"Using game elements and game design techniques, gamification aims to improve customer participation in demand management programmes (e.g. demand response, energy efficiency), by competing or collaborating with others and improving upon past performance.",Thermal comfort tailored to consumer's need.,Power transport,Digitalisation,,,8.0,"Using game elements and game design techniques, gamification aims to improve customer participation in demand management programmes (e.g. demand response, energy efficiency), by competing or collaborating with others and improving upon past performance. Thermal comfort tailored to consumer's need."
Interval-Time of use meter,"Demand,Buildings,Systems integration in buildings,Demand response,Interval-Time of use meter",10,10,10,10,10.0,Switch connected to an electricity meter turning on in periods of off-peak tariffs (under a time-of-use (TOU) pricing scheme).,"Time of Use (TOU) tariffs (static in many cases) give an incentive for customers to shift their load to off-peak hours. Devices such as storage heaters or water heaters can be connected to the meter to automatically turn on/off, reducing peak demand and reducing electricity bills for consumers.",Power transport,Digitalisation,"Finland,United kingdom",,9.0,"Switch connected to an electricity meter turning on in periods of off-peak tariffs (under a time-of-use (TOU) pricing scheme). Time of Use (TOU) tariffs (static in many cases) give an incentive for customers to shift their load to off-peak hours. Devices such as storage heaters or water heaters can be connected to the meter to automatically turn on/off, reducing peak demand and reducing electricity bills for consumers."
Open automated demand response,"Demand,Buildings,Systems integration in buildings,Demand response,Open automated demand response",7,7,7,7,7.0,Open automated demand response is a method for a dispatcher to continuously broadcast a demand-response signal to a customer which facilitates a timely and predictable response from the system operator while allowing choices by the consumer.,"Automation is key for building loads to react promptly to wholesale and retail market distortions, helping to maintain grid stability and low prices for everyone.",Power transport,Digitalisation,"India,United Kingdom,Europe",,7.0,"Open automated demand response is a method for a dispatcher to continuously broadcast a demand-response signal to a customer which facilitates a timely and predictable response from the system operator while allowing choices by the consumer. Automation is key for building loads to react promptly to wholesale and retail market distortions, helping to maintain grid stability and low prices for everyone."
Smart meter,"Demand,Buildings,Systems integration in buildings,Demand response,Smart meter",10,10,10,10,10.0,"Smart meters are electronic devices that record electricity consumption on a hourly basis or more frequently, and report at least daily to utilities. Smart meters are capable of two-way communication, sending time-based pricing information toward the home or demand response commands to devices.","Smart meters can facilitate more dynamic demand response through a number of load control mechanisms, e.g. sending real-time prices to smart appliances and switching on/off some devices.",Power transport,Digitalisation,United States,,9.0,"Smart meters are electronic devices that record electricity consumption on a hourly basis or more frequently, and report at least daily to utilities. Smart meters are capable of two-way communication, sending time-based pricing information toward the home or demand response commands to devices. Smart meters can facilitate more dynamic demand response through a number of load control mechanisms, e.g. sending real-time prices to smart appliances and switching on/off some devices."
Virtual net metering - community scale solar,"Demand,Buildings,Systems integration in buildings,Demand response,Virtual net metering - community scale solar",8,8,9,9,9.0,"Virtual net metering (VNM) is a bill crediting system in which solar is not used on-site but is instead externally installed and shared among subscribers. In this case, subscribers receive credits on their electricity bill for excess energy produced. Community solar is an alternative to rooftop solar wherein homeowners collectively pay for a solar system that provides power to multiple households.","As 40% of solar PV capacity will be on rooftops in 2070, community-scale solar offers a solution for homeowners that do not qualify (or are not willing) to have solar panels on their roofs.",Power transport,Digitalisation,"United States,Greece",,9.0,"Virtual net metering (VNM) is a bill crediting system in which solar is not used on-site but is instead externally installed and shared among subscribers. In this case, subscribers receive credits on their electricity bill for excess energy produced. Community solar is an alternative to rooftop solar wherein homeowners collectively pay for a solar system that provides power to multiple households. As 40% of solar PV capacity will be on rooftops in 2070, community-scale solar offers a solution for homeowners that do not qualify (or are not willing) to have solar panels on their roofs."
Electrical storage for building systems integration,"Demand,Buildings,Systems integration in buildings,Electrical storage for building systems integration",9,9,9,9,9.0,"Batteries (solid state battery, lithium-ion battery, redox flow battery) are electrochemical devices that can store or discharge electrical energy. ","Low applicability in the buildings sector given conversion losses. Other types of storage are generally cheaper and more promising given building energy needs. However, battery storage can be applied in buildings using battery electric vehicles in vehicle-to-grid mode.",Power storage,"Electrochemistry,Energy storage",,,9.0,"Batteries (solid state battery, lithium-ion battery, redox flow battery) are electrochemical devices that can store or discharge electrical energy.  Low applicability in the buildings sector given conversion losses. Other types of storage are generally cheaper and more promising given building energy needs. However, battery storage can be applied in buildings using battery electric vehicles in vehicle-to-grid mode."
Direct current buildings system,"Demand,Buildings,Systems integration in buildings,Grid interaction,Direct current buildings system",7,7,7,7,7.0,"Direct Current (DC) Microgrids combine DC power generation from photovoltaic (PV) sources with battery energy storage and can directly power adapted DC loads (e.g. EV charging, lighting, HVAC) without DC/AC conversion, thus making efficiency gains. With additional AC/DC convertors, they can be connected to the grid and/or power common AC loads.","As the conversion from direct current (produced by PV cells) to alternating current (to transport electricity on a long-distance) generates a loss of 4-8%, and that alternating current needs to be converted back to direct current to power appliances, 100% DC systems are a source of efficiency gains, under the assumptions that electricity is produced and consumed locally in microgrids to avoid transport losses.",Power transport,Digitalisation,,,7.0,"Direct Current (DC) Microgrids combine DC power generation from photovoltaic (PV) sources with battery energy storage and can directly power adapted DC loads (e.g. EV charging, lighting, HVAC) without DC/AC conversion, thus making efficiency gains. With additional AC/DC convertors, they can be connected to the grid and/or power common AC loads. As the conversion from direct current (produced by PV cells) to alternating current (to transport electricity on a long-distance) generates a loss of 4-8%, and that alternating current needs to be converted back to direct current to power appliances, 100% DC systems are a source of efficiency gains, under the assumptions that electricity is produced and consumed locally in microgrids to avoid transport losses."
Double smart grid,"Demand,Buildings,Systems integration in buildings,Grid interaction,Double smart grid",9,9,9,9,9.0,"A double smart grid integrates a smart electricity and district energy network to fully exploit synergies among energy loads (e.g. especially for electricity, heating and cooling needs) and integrate a wide variety of renewable (e.g. PV, solar thermal, Power-to-Heat) or waste energy resources.","Enhanced system efficiency, easily scalable and applicable to many dense, mix-use districts.",Power transport,,France,,9.0,"A double smart grid integrates a smart electricity and district energy network to fully exploit synergies among energy loads (e.g. especially for electricity, heating and cooling needs) and integrate a wide variety of renewable (e.g. PV, solar thermal, Power-to-Heat) or waste energy resources. Enhanced system efficiency, easily scalable and applicable to many dense, mix-use districts."
Electrification of high-temperature heat for ancillary processes,"Demand,Industry,Aluminium,Manufacturing,Electrification of high-temperature heat for ancillary processes",,,,3,3.0,"Electricity can be used to provide high temperature heat for ancillary processes in aluminium manufacturing, such as using plasma torches for as a heating source in cast houses' finishing processes (ex. rolling).",Ancillary processes are not major energy and emissions sources.,"Aluminium production,Power use","Electrification,Materials",Canada,https://www.iea.org/reports/aluminium,3.0,"Electricity can be used to provide high temperature heat for ancillary processes in aluminium manufacturing, such as using plasma torches for as a heating source in cast houses' finishing processes (ex. rolling). Ancillary processes are not major energy and emissions sources."
Hydrogen for high-temperature heat for ancillary processes and secondary production,"Demand,Industry,Aluminium,Manufacturing,Hydrogen for high-temperature heat for ancillary processes and secondary production",,3,3,4,5.0,"Hydrogen can be used to provide high temperature heat for ancillary processes in aluminium manufacturing, such as finishing processes (ex. rolling), or heat treatment of aluminium and alloys.",Ancillary processes are not major energy and emissions sources.,"Aluminium production,H2 use","Hydrogen,Materials","European Union,France,Germany,Norway",https://www.iea.org/reports/aluminium,5.0,"Hydrogen can be used to provide high temperature heat for ancillary processes in aluminium manufacturing, such as finishing processes (ex. rolling), or heat treatment of aluminium and alloys. Ancillary processes are not major energy and emissions sources."
Reducing metal forming losses and lightweighting through additive manufacturing,"Demand,Industry,Aluminium,Manufacturing,Reducing metal forming losses and lightweighting through additive manufacturing",9,9,9,9,9.0,"Reducing yield losses in manufacturing (e.g. sheet metal in the automotive industry) would reduce material demand and, in turn, emissions from material production. Additive manufacturing, a digitalised production process in which three-dimensional objects are produced by successively adding material by layer, can help. By its nature it leads to minimal material losses compared to processes that cut an object from larger pieces of material. It also facilitates design of lighter-weight parts.","Manufacturing yields are already quite high for many manufactured products, although improvements could be helpful in applications with high losses currently, such as vehicles. While improvements can help reduce material use and thus emissions, the impact on total emissions is relatively low given that collection rates for pre-consumer scrap are high, the quality of the scrap is high (due to good sorting) and recycled production emits a relatively small fraction of the emissions of primary production. Improvements in terms of additional potential for lightweighting, on the other hand, can reduce total demand and thus help contribute to emissions reductions.",Aluminium production,Materials,"United States,Italy,Germany",https://www.iea.org/reports/aluminium,9.0,"Reducing yield losses in manufacturing (e.g. sheet metal in the automotive industry) would reduce material demand and, in turn, emissions from material production. Additive manufacturing, a digitalised production process in which three-dimensional objects are produced by successively adding material by layer, can help. By its nature it leads to minimal material losses compared to processes that cut an object from larger pieces of material. It also facilitates design of lighter-weight parts. Manufacturing yields are already quite high for many manufactured products, although improvements could be helpful in applications with high losses currently, such as vehicles. While improvements can help reduce material use and thus emissions, the impact on total emissions is relatively low given that collection rates for pre-consumer scrap are high, the quality of the scrap is high (due to good sorting) and recycled production emits a relatively small fraction of the emissions of primary production. Improvements in terms of additional potential for lightweighting, on the other hand, can reduce total demand and thus help contribute to emissions reductions."
Concentrated solar thermal in the Bayer process,"Demand,Industry,Aluminium,Production,Alumina refining,Concentrated solar thermal in the Bayer process",,,,3,7.0,"The Bayer process - the main method to refine bauxite into alumina (the input to aluminium smelting) - requires 100 to 250 °C heat and steam for digestion and 1000 °C heat for calcination, which are currently delivered using fossil fuels. Testing is underway to use concentrated solar thermal as heat input into alumina refining.","Alternative fuels provide a good prospect for reducing alumina refining emissions. Alumina refining is a key source of the sector's emissions, so it will be important to develop technologies to reduce them in moving towards net zero emissions. Concentrated solar thermal potentially has lower applicability compared to alternatives.",Aluminium production,Renewables,"Australia,Saudi Arabia",https://www.iea.org/reports/aluminium,7.0,"The Bayer process - the main method to refine bauxite into alumina (the input to aluminium smelting) - requires 100 to 250 °C heat and steam for digestion and 1000 °C heat for calcination, which are currently delivered using fossil fuels. Testing is underway to use concentrated solar thermal as heat input into alumina refining. Alternative fuels provide a good prospect for reducing alumina refining emissions. Alumina refining is a key source of the sector's emissions, so it will be important to develop technologies to reduce them in moving towards net zero emissions. Concentrated solar thermal potentially has lower applicability compared to alternatives."
Electricity in the Bayer process,"Demand,Industry,Aluminium,Production,Alumina refining,Electricity in the Bayer process",,,,7,7.0,"The Bayer process - the main method to refine bauxite into alumina (the input to aluminium smelting) - requires 100 to 250 °C heat and steam for digestion and 1000 °C heat for calcination, which are currently delivered using fossil fuels. Testing is underway to use electricity for both digestion heat (e.g. boilers/co-generation) and for calcination.","Alternative fuels provide a good prospect for reducing alumina refining emissions. Alumina refining is a key source of the sector's emissions, so it will be important to develop technologies to reduce them in moving towards net zero emissions. Electrification is the most developed technology being deployed at the moment, so likely has the largest relevance for net zero.","Aluminium production,Power use","Electrification,Renewables","Australia,Brazil,Republic of Ireland",https://www.iea.org/reports/aluminium,7.0,"The Bayer process - the main method to refine bauxite into alumina (the input to aluminium smelting) - requires 100 to 250 °C heat and steam for digestion and 1000 °C heat for calcination, which are currently delivered using fossil fuels. Testing is underway to use electricity for both digestion heat (e.g. boilers/co-generation) and for calcination. Alternative fuels provide a good prospect for reducing alumina refining emissions. Alumina refining is a key source of the sector's emissions, so it will be important to develop technologies to reduce them in moving towards net zero emissions. Electrification is the most developed technology being deployed at the moment, so likely has the largest relevance for net zero."
